id,value,feature
7114,для взрослых,genre
4880,комедии,genre
9842,драмы,genre
9842,триллеры,genre
9842,криминал,genre
9842,детективы,genre
15297,драмы,genre
15297,мелодрамы,genre
12849,боевики,genre
12849,фантастика,genre
12849,приключения,genre
8585,драмы,genre
8585,ужасы,genre
8585,триллеры,genre
8585,детективы,genre
3282,мелодрамы,genre
3282,аниме,genre
3282,комедии,genre
10440,триллеры,genre
10440,детективы,genre
6660,боевики,genre
6660,драмы,genre
6660,криминал,genre
7890,историческое,genre
7890,фэнтези,genre
7890,мелодрамы,genre
4179,для взрослых,genre
4442,боевики,genre
4442,драмы,genre
4442,фантастика,genre
4442,аниме,genre
3601,боевики,genre
3601,фантастика,genre
11640,детективы,genre
5754,боевики,genre
5754,фантастика,genre
5754,фэнтези,genre
5754,приключения,genre
14526,документальное,genre
15574,боевики,genre
15574,фантастика,genre
5695,боевики,genre
5695,драмы,genre
10566,для взрослых,genre
1529,драмы,genre
1529,биография,genre
1529,военные,genre
1529,историческое,genre
9728,боевики,genre
9728,триллеры,genre
14317,популярное,genre
14317,фантастика,genre
14317,триллеры,genre
14317,боевики,genre
14317,ужасы,genre
13865,драмы,genre
13865,военные,genre
13865,приключения,genre
9561,триллеры,genre
9561,криминал,genre
5471,драмы,genre
5471,детективы,genre
9996,драмы,genre
12173,боевики,genre
12173,драмы,genre
12173,фантастика,genre
3936,боевики,genre
3936,фантастика,genre
3936,приключения,genre
12743,мультфильм,genre
12743,приключения,genre
12743,комедии,genre
10533,для взрослых,genre
7793,боевики,genre
7793,драмы,genre
7793,фантастика,genre
7793,триллеры,genre
488,драмы,genre
488,биография,genre
488,историческое,genre
6404,боевики,genre
6404,ужасы,genre
6404,фантастика,genre
6404,фэнтези,genre
13424,драмы,genre
13424,фантастика,genre
13424,военные,genre
13424,боевики,genre
13424,ужасы,genre
13424,фэнтези,genre
16361,боевики,genre
16361,ужасы,genre
16361,фантастика,genre
16361,триллеры,genre
14151,боевики,genre
14151,семейное,genre
14151,криминал,genre
14151,комедии,genre
11239,фантастика,genre
11239,аниме,genre
7626,боевики,genre
7626,фантастика,genre
7626,приключения,genre
1843,документальное,genre
8251,историческое,genre
8251,военные,genre
8251,приключения,genre
4155,фантастика,genre
4155,фэнтези,genre
4155,триллеры,genre
11749,фантастика,genre
11749,мультфильм,genre
11749,приключения,genre
6590,боевики,genre
6590,драмы,genre
6590,мелодрамы,genre
2583,документальное,genre
598,спорт,genre
598,документальное,genre
6898,драмы,genre
6898,фантастика,genre
6898,триллеры,genre
12692,драмы,genre
12692,биография,genre
15214,драмы,genre
15214,ужасы,genre
15214,триллеры,genre
15214,приключения,genre
3734,комедии,genre
8931,для взрослых,genre
8208,драмы,genre
8208,приключения,genre
3359,документальное,genre
7210,приключения,genre
7210,фантастика,genre
7210,боевики,genre
7210,фэнтези,genre
7210,комедии,genre
218,драмы,genre
218,триллеры,genre
218,криминал,genre
218,детективы,genre
15037,для взрослых,genre
9855,для взрослых,genre
7612,боевики,genre
7612,фантастика,genre
7612,фэнтези,genre
7612,приключения,genre
24,драмы,genre
24,историческое,genre
24,военные,genre
2720,драмы,genre
2301,фантастика,genre
2301,приключения,genre
11118,триллеры,genre
11245,драмы,genre
11245,биография,genre
11245,историческое,genre
12204,боевики,genre
12204,драмы,genre
12204,триллеры,genre
16043,документальное,genre
9424,драмы,genre
9424,биография,genre
9986,фэнтези,genre
9986,мелодрамы,genre
3787,аниме,genre
3787,детективы,genre
3787,драмы,genre
3787,триллеры,genre
3787,мелодрамы,genre
3787,фэнтези,genre
3787,комедии,genre
6443,драмы,genre
6443,триллеры,genre
6443,криминал,genre
7114,film,content_type
4880,series,content_type
9842,film,content_type
15297,series,content_type
12849,film,content_type
8585,film,content_type
3282,series,content_type
10440,series,content_type
6660,film,content_type
7890,series,content_type
4179,film,content_type
4442,film,content_type
3601,film,content_type
11640,series,content_type
5754,film,content_type
14526,series,content_type
